Charm++> Running on MPI version: 3.1
Charm++> level of thread support used: MPI_THREAD_SINGLE (desired: MPI_THREAD_SINGLE)
Charm++> Running in non-SMP mode: 576 processes (PEs)
Converse/Charm++ Commit ID: v70000
Charm++> work stealing seed load balancer.
Isomalloc> Synchronized global address space.
CharmLB> Load balancer assumes all CPUs are same.
Charm++> Running on 16 hosts (2 sockets x 18 cores x 1 PUs = 36-way SMP)
Charm++> cpu topology info is gathered in 0.156 seconds.
UTS - Unbalanced Tree Search 2.1 (Charm++)
Tree type:  1 (Geometric)
Tree shape parameters:
  root branching factor b_0 = 4.0, root seed = 19
  GEO parameters: gen_mx = 15, shape function = 3 (Fixed branching factor)
Random number generator: SHA-1 (state size = 20B)
Compute granularity: 1
Execution strategy:  
[74] 1538241115 ns 2.75031 Gnodes/s ( nodes: 4230646601 )
[75] 1566236999 ns 2.70115 Gnodes/s ( nodes: 4230646601 )
[76] 1515408173 ns 2.79175 Gnodes/s ( nodes: 4230646601 )
[77] 1527796901 ns 2.76912 Gnodes/s ( nodes: 4230646601 )
[78] 1524082792 ns 2.77586 Gnodes/s ( nodes: 4230646601 )
[79] 1517621383 ns 2.78768 Gnodes/s ( nodes: 4230646601 )
[80] 1529487310 ns 2.76606 Gnodes/s ( nodes: 4230646601 )
[81] 1517216407 ns 2.78843 Gnodes/s ( nodes: 4230646601 )
[82] 1526315339 ns 2.7718 Gnodes/s ( nodes: 4230646601 )
[83] 1521676985 ns 2.78025 Gnodes/s ( nodes: 4230646601 )
[84] 1523572692 ns 2.77679 Gnodes/s ( nodes: 4230646601 )
[85] 1542424685 ns 2.74285 Gnodes/s ( nodes: 4230646601 )
[86] 1522499994 ns 2.77875 Gnodes/s ( nodes: 4230646601 )
[87] 1525144817 ns 2.77393 Gnodes/s ( nodes: 4230646601 )
[88] 1514949509 ns 2.7926 Gnodes/s ( nodes: 4230646601 )
[89] 1518602990 ns 2.78588 Gnodes/s ( nodes: 4230646601 )
[90] 1519617936 ns 2.78402 Gnodes/s ( nodes: 4230646601 )
[91] 1540474822 ns 2.74633 Gnodes/s ( nodes: 4230646601 )
[92] 1521205491 ns 2.78111 Gnodes/s ( nodes: 4230646601 )
[93] 1535098609 ns 2.75594 Gnodes/s ( nodes: 4230646601 )
[94] 1529481520 ns 2.76607 Gnodes/s ( nodes: 4230646601 )
[95] 1516425093 ns 2.78988 Gnodes/s ( nodes: 4230646601 )
[96] 1522933038 ns 2.77796 Gnodes/s ( nodes: 4230646601 )
[97] 1514927375 ns 2.79264 Gnodes/s ( nodes: 4230646601 )
[98] 1520867036 ns 2.78173 Gnodes/s ( nodes: 4230646601 )
[99] 1522068603 ns 2.77954 Gnodes/s ( nodes: 4230646601 )
[100] 1517605502 ns 2.78771 Gnodes/s ( nodes: 4230646601 )
[101] 1518625239 ns 2.78584 Gnodes/s ( nodes: 4230646601 )
[102] 1530014581 ns 2.7651 Gnodes/s ( nodes: 4230646601 )
[103] 1520561931 ns 2.78229 Gnodes/s ( nodes: 4230646601 )
[104] 1547310869 ns 2.73419 Gnodes/s ( nodes: 4230646601 )
[105] 1530906580 ns 2.76349 Gnodes/s ( nodes: 4230646601 )
[106] 1538616893 ns 2.74964 Gnodes/s ( nodes: 4230646601 )
[107] 1526365487 ns 2.77171 Gnodes/s ( nodes: 4230646601 )
[108] 1516408277 ns 2.78991 Gnodes/s ( nodes: 4230646601 )
[109] 1520687738 ns 2.78206 Gnodes/s ( nodes: 4230646601 )
[110] 1518092192 ns 2.78682 Gnodes/s ( nodes: 4230646601 )
[111] 1533892844 ns 2.75811 Gnodes/s ( nodes: 4230646601 )
[112] 1518721736 ns 2.78566 Gnodes/s ( nodes: 4230646601 )
[113] 1510556631 ns 2.80072 Gnodes/s ( nodes: 4230646601 )
[114] 1519345456 ns 2.78452 Gnodes/s ( nodes: 4230646601 )
[115] 1536169751 ns 2.75402 Gnodes/s ( nodes: 4230646601 )
[116] 1522755142 ns 2.77828 Gnodes/s ( nodes: 4230646601 )
[117] 1538589126 ns 2.74969 Gnodes/s ( nodes: 4230646601 )
[118] 1527952656 ns 2.76883 Gnodes/s ( nodes: 4230646601 )
[119] 1520478650 ns 2.78244 Gnodes/s ( nodes: 4230646601 )
[120] 1519822370 ns 2.78365 Gnodes/s ( nodes: 4230646601 )
[121] 1531976905 ns 2.76156 Gnodes/s ( nodes: 4230646601 )
[122] 1548985565 ns 2.73124 Gnodes/s ( nodes: 4230646601 )
[123] 1528962030 ns 2.76701 Gnodes/s ( nodes: 4230646601 )
[124] 1536252868 ns 2.75387 Gnodes/s ( nodes: 4230646601 )
[125] 1517796878 ns 2.78736 Gnodes/s ( nodes: 4230646601 )
[126] 1523228338 ns 2.77742 Gnodes/s ( nodes: 4230646601 )
[127] 1514430439 ns 2.79356 Gnodes/s ( nodes: 4230646601 )
[128] 1525306816 ns 2.77364 Gnodes/s ( nodes: 4230646601 )
[129] 1544034393 ns 2.74 Gnodes/s ( nodes: 4230646601 )
[130] 1539122565 ns 2.74874 Gnodes/s ( nodes: 4230646601 )
[131] 1535063191 ns 2.75601 Gnodes/s ( nodes: 4230646601 )
[132] 1511499140 ns 2.79897 Gnodes/s ( nodes: 4230646601 )
[133] 1528210194 ns 2.76837 Gnodes/s ( nodes: 4230646601 )
[134] 1545475678 ns 2.73744 Gnodes/s ( nodes: 4230646601 )
[135] 1528460805 ns 2.76791 Gnodes/s ( nodes: 4230646601 )
[136] 1523562270 ns 2.77681 Gnodes/s ( nodes: 4230646601 )
[137] 1536460336 ns 2.7535 Gnodes/s ( nodes: 4230646601 )
[138] 1550023401 ns 2.72941 Gnodes/s ( nodes: 4230646601 )
[139] 1530432679 ns 2.76435 Gnodes/s ( nodes: 4230646601 )
[140] 1520088656 ns 2.78316 Gnodes/s ( nodes: 4230646601 )
[141] 1537485579 ns 2.75167 Gnodes/s ( nodes: 4230646601 )
[142] 1533152910 ns 2.75944 Gnodes/s ( nodes: 4230646601 )
[143] 1534868875 ns 2.75636 Gnodes/s ( nodes: 4230646601 )
[144] 1598501467 ns 2.64663 Gnodes/s ( nodes: 4230646601 )
[145] 1553382038 ns 2.72351 Gnodes/s ( nodes: 4230646601 )
[146] 1571186687 ns 2.69264 Gnodes/s ( nodes: 4230646601 )
[147] 1539514807 ns 2.74804 Gnodes/s ( nodes: 4230646601 )
[148] 1530682765 ns 2.7639 Gnodes/s ( nodes: 4230646601 )
[149] 1517546683 ns 2.78782 Gnodes/s ( nodes: 4230646601 )
[150] 1528575051 ns 2.76771 Gnodes/s ( nodes: 4230646601 )
[151] 1540391589 ns 2.74647 Gnodes/s ( nodes: 4230646601 )
[152] 1549808951 ns 2.72979 Gnodes/s ( nodes: 4230646601 )
[153] 1551734164 ns 2.7264 Gnodes/s ( nodes: 4230646601 )
[154] 1571834061 ns 2.69154 Gnodes/s ( nodes: 4230646601 )
[155] 1530786217 ns 2.76371 Gnodes/s ( nodes: 4230646601 )
[156] 1533488968 ns 2.75884 Gnodes/s ( nodes: 4230646601 )
[157] 1521506154 ns 2.78056 Gnodes/s ( nodes: 4230646601 )
[158] 1533571902 ns 2.75869 Gnodes/s ( nodes: 4230646601 )
[159] 1548905104 ns 2.73138 Gnodes/s ( nodes: 4230646601 )
[160] 1534435557 ns 2.75714 Gnodes/s ( nodes: 4230646601 )
[161] 1554714490 ns 2.72117 Gnodes/s ( nodes: 4230646601 )
[162] 1556147024 ns 2.71867 Gnodes/s ( nodes: 4230646601 )
[163] 1550820387 ns 2.72801 Gnodes/s ( nodes: 4230646601 )
[164] 1534970288 ns 2.75617 Gnodes/s ( nodes: 4230646601 )
[165] 1532134467 ns 2.76128 Gnodes/s ( nodes: 4230646601 )
[166] 1542185550 ns 2.74328 Gnodes/s ( nodes: 4230646601 )
[167] 1534903785 ns 2.75629 Gnodes/s ( nodes: 4230646601 )
[168] 1534548166 ns 2.75693 Gnodes/s ( nodes: 4230646601 )
[169] 1547781892 ns 2.73336 Gnodes/s ( nodes: 4230646601 )
[170] 1556776535 ns 2.71757 Gnodes/s ( nodes: 4230646601 )
[171] 1545036381 ns 2.73822 Gnodes/s ( nodes: 4230646601 )
[172] 1559163735 ns 2.71341 Gnodes/s ( nodes: 4230646601 )
[173] 1563526506 ns 2.70584 Gnodes/s ( nodes: 4230646601 )
[174] 1547946147 ns 2.73307 Gnodes/s ( nodes: 4230646601 )
[175] 1544627723 ns 2.73894 Gnodes/s ( nodes: 4230646601 )
[176] 1556156554 ns 2.71865 Gnodes/s ( nodes: 4230646601 )
[177] 1564404959 ns 2.70432 Gnodes/s ( nodes: 4230646601 )
[178] 1551178521 ns 2.72738 Gnodes/s ( nodes: 4230646601 )
[179] 1552104980 ns 2.72575 Gnodes/s ( nodes: 4230646601 )
[180] 1537639774 ns 2.75139 Gnodes/s ( nodes: 4230646601 )
[181] 1533897786 ns 2.7581 Gnodes/s ( nodes: 4230646601 )
