places=36   b=4   r=29   d=13   w=2   n=511   l=32   m=1024   z=2
[0] 338669768 ns 0.30171303037595 Gnodes/s ( nodes: 102181082 )
[1] 191012618 ns 0.534944146988237 Gnodes/s ( nodes: 102181082 )
[2] 207640798 ns 0.492105034194677 Gnodes/s ( nodes: 102181082 )
[3] 205874776 ns 0.496326378516618 Gnodes/s ( nodes: 102181082 )
[4] 201221688 ns 0.507803522650103 Gnodes/s ( nodes: 102181082 )
[5] 196288962 ns 0.520564584777824 Gnodes/s ( nodes: 102181082 )
[6] 195099527 ns 0.523738235408433 Gnodes/s ( nodes: 102181082 )
[7] 193934436 ns 0.526884673539876 Gnodes/s ( nodes: 102181082 )
[8] 196349306 ns 0.520404599749387 Gnodes/s ( nodes: 102181082 )
[9] 195954035 ns 0.521454340044593 Gnodes/s ( nodes: 102181082 )
[10] 193762312 ns 0.52735271862363 Gnodes/s ( nodes: 102181082 )
[11] 193831995 ns 0.527163134239009 Gnodes/s ( nodes: 102181082 )
[12] 202361377 ns 0.504943598995178 Gnodes/s ( nodes: 102181082 )
[13] 197713702 ns 0.516813356719202 Gnodes/s ( nodes: 102181082 )
[14] 205495866 ns 0.49724154548199 Gnodes/s ( nodes: 102181082 )
[15] 191374878 ns 0.533931533061513 Gnodes/s ( nodes: 102181082 )
[16] 207152293 ns 0.493265512634224 Gnodes/s ( nodes: 102181082 )
[17] 193867058 ns 0.527067790960133 Gnodes/s ( nodes: 102181082 )
[18] 205724876 ns 0.496688023280179 Gnodes/s ( nodes: 102181082 )
[19] 196375409 ns 0.520335425501265 Gnodes/s ( nodes: 102181082 )
[20] 191592815 ns 0.533324185460713 Gnodes/s ( nodes: 102181082 )
[21] 198964705 ns 0.513563860484703 Gnodes/s ( nodes: 102181082 )
[22] 203356273 ns 0.502473223434814 Gnodes/s ( nodes: 102181082 )
[23] 188725335 ns 0.54142747713231 Gnodes/s ( nodes: 102181082 )
[24] 193873047 ns 0.527051509124938 Gnodes/s ( nodes: 102181082 )
[25] 195335246 ns 0.52310621914081 Gnodes/s ( nodes: 102181082 )
[26] 193493863 ns 0.528084355833032 Gnodes/s ( nodes: 102181082 )
[27] 196484223 ns 0.520047260995607 Gnodes/s ( nodes: 102181082 )
[28] 195263884 ns 0.523297395846126 Gnodes/s ( nodes: 102181082 )
[29] 204180257 ns 0.500445456878821 Gnodes/s ( nodes: 102181082 )
[30] 203540777 ns 0.502017745564566 Gnodes/s ( nodes: 102181082 )
[31] 197047604 ns 0.518560388077594 Gnodes/s ( nodes: 102181082 )
[32] 196812628 ns 0.519179501022668 Gnodes/s ( nodes: 102181082 )
[33] 199604473 ns 0.511917796551583 Gnodes/s ( nodes: 102181082 )
[34] 193143888 ns 0.52904123996924 Gnodes/s ( nodes: 102181082 )
[35] 198385796 ns 0.515062489655257 Gnodes/s ( nodes: 102181082 )
[36] 197624110 ns 0.5170476517263 Gnodes/s ( nodes: 102181082 )
[37] 200964617 ns 0.508453097492281 Gnodes/s ( nodes: 102181082 )
[38] 194819957 ns 0.524489808813581 Gnodes/s ( nodes: 102181082 )
[39] 192863033 ns 0.529811651359854 Gnodes/s ( nodes: 102181082 )
[40] 197650712 ns 0.516978061784063 Gnodes/s ( nodes: 102181082 )
[41] 193325766 ns 0.528543525853662 Gnodes/s ( nodes: 102181082 )
[42] 197582496 ns 0.517156550142984 Gnodes/s ( nodes: 102181082 )
