places=144   b=4   r=19   d=15   w=2   n=511   l=32   m=1024   z=2
[77] 1468058439 ns 2.881797133281559 Gnodes/s ( nodes: 4230646601 )
[78] 1445266809 ns 2.927242620293233 Gnodes/s ( nodes: 4230646601 )
[79] 1457611313 ns 2.902451815012772 Gnodes/s ( nodes: 4230646601 )
[80] 1461852633 ns 2.8940308383328 Gnodes/s ( nodes: 4230646601 )
[81] 1466002161 ns 2.885839266508421 Gnodes/s ( nodes: 4230646601 )
[82] 1465371314 ns 2.88708162946883 Gnodes/s ( nodes: 4230646601 )
[83] 1459733126 ns 2.898232920556466 Gnodes/s ( nodes: 4230646601 )
[84] 1459219430 ns 2.899253199362895 Gnodes/s ( nodes: 4230646601 )
[85] 1453664335 ns 2.910332529414364 Gnodes/s ( nodes: 4230646601 )
[86] 1450415855 ns 2.916850768292242 Gnodes/s ( nodes: 4230646601 )
[87] 1456539333 ns 2.904587953890841 Gnodes/s ( nodes: 4230646601 )
[88] 1456885968 ns 2.903896869023863 Gnodes/s ( nodes: 4230646601 )
[89] 1473680235 ns 2.870803652326924 Gnodes/s ( nodes: 4230646601 )
[90] 1491414651 ns 2.836666917656557 Gnodes/s ( nodes: 4230646601 )
[91] 1478700110 ns 2.861057879410045 Gnodes/s ( nodes: 4230646601 )
[92] 1452565789 ns 2.912533554788271 Gnodes/s ( nodes: 4230646601 )
[93] 1446578695 ns 2.924587936780031 Gnodes/s ( nodes: 4230646601 )
[94] 1472314993 ns 2.873465678957465 Gnodes/s ( nodes: 4230646601 )
[95] 1457485225 ns 2.902702908017472 Gnodes/s ( nodes: 4230646601 )
[96] 1486094538 ns 2.846821983945681 Gnodes/s ( nodes: 4230646601 )
[97] 1461888451 ns 2.893959931146621 Gnodes/s ( nodes: 4230646601 )
[98] 1457114202 ns 2.903442019296165 Gnodes/s ( nodes: 4230646601 )
[99] 1457958538 ns 2.901760571877113 Gnodes/s ( nodes: 4230646601 )
[100] 1448546412 ns 2.920615153199523 Gnodes/s ( nodes: 4230646601 )
[101] 1480848474 ns 2.85690715510708 Gnodes/s ( nodes: 4230646601 )
[102] 1538051229 ns 2.75065389320657 Gnodes/s ( nodes: 4230646601 )
[103] 1462742111 ns 2.89227100880259 Gnodes/s ( nodes: 4230646601 )
[104] 1475800990 ns 2.866678251110267 Gnodes/s ( nodes: 4230646601 )
[105] 1453218345 ns 2.911225705040215 Gnodes/s ( nodes: 4230646601 )
[106] 1471110923 ns 2.875817543637394 Gnodes/s ( nodes: 4230646601 )
[107] 1485556393 ns 2.847853249418852 Gnodes/s ( nodes: 4230646601 )
[108] 1459029381 ns 2.899630847804017 Gnodes/s ( nodes: 4230646601 )
[109] 1456366950 ns 2.904931755695225 Gnodes/s ( nodes: 4230646601 )
