places=2304   b=4   r=29   d=13   w=3   n=511   l=32   m=1024   z=3
[0] 1131755611 ns 0.090285465348579 Gnodes/s ( nodes: 102181082 )
[1] 385932138 ns 0.264764376787921 Gnodes/s ( nodes: 102181082 )
[2] 305900992 ns 0.33403318286722 Gnodes/s ( nodes: 102181082 )
[3] 345662412 ns 0.295609468813173 Gnodes/s ( nodes: 102181082 )
[4] 367166235 ns 0.278296510571022 Gnodes/s ( nodes: 102181082 )
[5] 318465260 ns 0.320854720543145 Gnodes/s ( nodes: 102181082 )
[6] 317769368 ns 0.321557369242714 Gnodes/s ( nodes: 102181082 )
[7] 327111312 ns 0.312374039819204 Gnodes/s ( nodes: 102181082 )
[8] 303283973 ns 0.336915534933328 Gnodes/s ( nodes: 102181082 )
[9] 349119696 ns 0.292682089182387 Gnodes/s ( nodes: 102181082 )
[10] 343750607 ns 0.297253531831582 Gnodes/s ( nodes: 102181082 )
[11] 340269293 ns 0.300294749194427 Gnodes/s ( nodes: 102181082 )
[12] 313895212 ns 0.325526093083573 Gnodes/s ( nodes: 102181082 )
[13] 337402565 ns 0.302846192055475 Gnodes/s ( nodes: 102181082 )
[14] 395112532 ns 0.258612607104044 Gnodes/s ( nodes: 102181082 )
[15] 543457635 ns 0.188020326552225 Gnodes/s ( nodes: 102181082 )
[16] 363881198 ns 0.280808908406419 Gnodes/s ( nodes: 102181082 )
[17] 343764611 ns 0.297241422561673 Gnodes/s ( nodes: 102181082 )
[18] 295142232 ns 0.346209626821552 Gnodes/s ( nodes: 102181082 )
[19] 405236386 ns 0.252151794681142 Gnodes/s ( nodes: 102181082 )
[20] 342248078 ns 0.29855852689405 Gnodes/s ( nodes: 102181082 )
[21] 339774926 ns 0.300731673178262 Gnodes/s ( nodes: 102181082 )
[22] 326144366 ns 0.313300159843939 Gnodes/s ( nodes: 102181082 )
[23] 328764427 ns 0.310803340046276 Gnodes/s ( nodes: 102181082 )
[24] 294255718 ns 0.347252664092665 Gnodes/s ( nodes: 102181082 )
[25] 374838275 ns 0.272600448820228 Gnodes/s ( nodes: 102181082 )
[26] 365966733 ns 0.27920866238954 Gnodes/s ( nodes: 102181082 )
[27] 332155706 ns 0.307630066725393 Gnodes/s ( nodes: 102181082 )
[28] 344604965 ns 0.296516569341942 Gnodes/s ( nodes: 102181082 )
[29] 329013084 ns 0.310568445357024 Gnodes/s ( nodes: 102181082 )
[30] 312925598 ns 0.326534750282717 Gnodes/s ( nodes: 102181082 )
[31] 377635951 ns 0.270580917228402 Gnodes/s ( nodes: 102181082 )
[32] 338237415 ns 0.302098695970699 Gnodes/s ( nodes: 102181082 )
[33] 341727559 ns 0.299013290877134 Gnodes/s ( nodes: 102181082 )
[34] 322554735 ns 0.316786798990875 Gnodes/s ( nodes: 102181082 )
[35] 317346739 ns 0.32198560578245 Gnodes/s ( nodes: 102181082 )
[36] 338878359 ns 0.301527315882688 Gnodes/s ( nodes: 102181082 )
[37] 304743886 ns 0.335301499699325 Gnodes/s ( nodes: 102181082 )
[38] 332914494 ns 0.306928907697242 Gnodes/s ( nodes: 102181082 )
[39] 332698532 ns 0.307128142062256 Gnodes/s ( nodes: 102181082 )
[40] 305009455 ns 0.33500955568738 Gnodes/s ( nodes: 102181082 )
[41] 306867627 ns 0.332980976191405 Gnodes/s ( nodes: 102181082 )
[42] 313987831 ns 0.325430070568563 Gnodes/s ( nodes: 102181082 )
[43] 372024413 ns 0.274662302874193 Gnodes/s ( nodes: 102181082 )
[44] 444587013 ns 0.229833708615326 Gnodes/s ( nodes: 102181082 )
[45] 385245999 ns 0.265235933053778 Gnodes/s ( nodes: 102181082 )
[46] 309526259 ns 0.330120883217214 Gnodes/s ( nodes: 102181082 )
[47] 303935458 ns 0.336193357209411 Gnodes/s ( nodes: 102181082 )
[48] 345222070 ns 0.295986528323638 Gnodes/s ( nodes: 102181082 )
[49] 334929581 ns 0.305082285341646 Gnodes/s ( nodes: 102181082 )
[50] 335696009 ns 0.304385751574425 Gnodes/s ( nodes: 102181082 )
[51] 348100268 ns 0.293539222440357 Gnodes/s ( nodes: 102181082 )
