places=576   b=4   r=29   d=13   w=2   n=511   l=32   m=1024   z=2
[0] 407470493 ns 0.250769279629777 Gnodes/s ( nodes: 102181082 )
[1] 169046063 ns 0.604457034885219 Gnodes/s ( nodes: 102181082 )
[2] 170725086 ns 0.598512406079561 Gnodes/s ( nodes: 102181082 )
[3] 172784151 ns 0.591379946648 Gnodes/s ( nodes: 102181082 )
[4] 142304677 ns 0.718044439256202 Gnodes/s ( nodes: 102181082 )
[5] 146414080 ns 0.697891090802196 Gnodes/s ( nodes: 102181082 )
[6] 178657550 ns 0.571938224832928 Gnodes/s ( nodes: 102181082 )
[7] 148537671 ns 0.687913586581009 Gnodes/s ( nodes: 102181082 )
[8] 151916466 ns 0.672613605953682 Gnodes/s ( nodes: 102181082 )
[9] 173619298 ns 0.588535279067883 Gnodes/s ( nodes: 102181082 )
[10] 221733604 ns 0.46082812959645 Gnodes/s ( nodes: 102181082 )
[11] 171567714 ns 0.595572905983931 Gnodes/s ( nodes: 102181082 )
[12] 179629286 ns 0.568844225100355 Gnodes/s ( nodes: 102181082 )
[13] 189931973 ns 0.537987787869713 Gnodes/s ( nodes: 102181082 )
[14] 214281742 ns 0.476853888932824 Gnodes/s ( nodes: 102181082 )
[15] 164968473 ns 0.619397634843841 Gnodes/s ( nodes: 102181082 )
[16] 171400025 ns 0.596155583991309 Gnodes/s ( nodes: 102181082 )
[17] 149571056 ns 0.6831607981694 Gnodes/s ( nodes: 102181082 )
[18] 148093955 ns 0.689974698832238 Gnodes/s ( nodes: 102181082 )
[19] 161942772 ns 0.630970315859481 Gnodes/s ( nodes: 102181082 )
[20] 147766601 ns 0.69150323082819 Gnodes/s ( nodes: 102181082 )
[21] 143875459 ns 0.710205080909594 Gnodes/s ( nodes: 102181082 )
[22] 165778992 ns 0.616369304501502 Gnodes/s ( nodes: 102181082 )
[23] 165034650 ns 0.619149263503149 Gnodes/s ( nodes: 102181082 )
[24] 181955941 ns 0.561570462818799 Gnodes/s ( nodes: 102181082 )
[25] 214542665 ns 0.47627394765512 Gnodes/s ( nodes: 102181082 )
[26] 157809457 ns 0.647496569232857 Gnodes/s ( nodes: 102181082 )
[27] 160674391 ns 0.635951263695781 Gnodes/s ( nodes: 102181082 )
[28] 165787405 ns 0.616338026401945 Gnodes/s ( nodes: 102181082 )
[29] 139973127 ns 0.730004995887532 Gnodes/s ( nodes: 102181082 )
[30] 174228599 ns 0.586477091513547 Gnodes/s ( nodes: 102181082 )
[31] 138603804 ns 0.737217010292156 Gnodes/s ( nodes: 102181082 )
[32] 136517772 ns 0.74848190461239 Gnodes/s ( nodes: 102181082 )
[33] 143814279 ns 0.710507209092916 Gnodes/s ( nodes: 102181082 )
[34] 173036918 ns 0.590516077037387 Gnodes/s ( nodes: 102181082 )
[35] 175278149 ns 0.58296531874033 Gnodes/s ( nodes: 102181082 )
[36] 172207831 ns 0.593359090621146 Gnodes/s ( nodes: 102181082 )
[37] 145694023 ns 0.701340246469823 Gnodes/s ( nodes: 102181082 )
[38] 183030635 ns 0.5582731109467 Gnodes/s ( nodes: 102181082 )
[39] 176036003 ns 0.580455590098805 Gnodes/s ( nodes: 102181082 )
[40] 192348780 ns 0.531228126323442 Gnodes/s ( nodes: 102181082 )
[41] 172560930 ns 0.592144942658805 Gnodes/s ( nodes: 102181082 )
[42] 133583061 ns 0.764925442156173 Gnodes/s ( nodes: 102181082 )
[43] 161911411 ns 0.631092529976161 Gnodes/s ( nodes: 102181082 )
[44] 146018177 ns 0.699783301636481 Gnodes/s ( nodes: 102181082 )
[45] 158705979 ns 0.643838894059562 Gnodes/s ( nodes: 102181082 )
[46] 156582459 ns 0.652570426167595 Gnodes/s ( nodes: 102181082 )
[47] 172897225 ns 0.59099318684843 Gnodes/s ( nodes: 102181082 )
[48] 166674258 ns 0.613058568408326 Gnodes/s ( nodes: 102181082 )
[49] 167102657 ns 0.61148687779393 Gnodes/s ( nodes: 102181082 )
[50] 186265812 ns 0.54857668674056 Gnodes/s ( nodes: 102181082 )
[51] 157607101 ns 0.6483279075097 Gnodes/s ( nodes: 102181082 )
[52] 126745893 ns 0.8061885050587 Gnodes/s ( nodes: 102181082 )
[53] 140850609 ns 0.725457154395406 Gnodes/s ( nodes: 102181082 )
[54] 134499093 ns 0.759715769979207 Gnodes/s ( nodes: 102181082 )
[55] 165911524 ns 0.615876941736729 Gnodes/s ( nodes: 102181082 )
[56] 172239944 ns 0.59324846273754 Gnodes/s ( nodes: 102181082 )
[57] 166755346 ns 0.612760456867152 Gnodes/s ( nodes: 102181082 )
[58] 169833927 ns 0.601652942995306 Gnodes/s ( nodes: 102181082 )
[59] 163147405 ns 0.62631141451499 Gnodes/s ( nodes: 102181082 )
[60] 165009960 ns 0.619241905155301 Gnodes/s ( nodes: 102181082 )
[61] 169289373 ns 0.603588283122769 Gnodes/s ( nodes: 102181082 )
[62] 174222163 ns 0.586498756762651 Gnodes/s ( nodes: 102181082 )
[63] 202499049 ns 0.504600305555015 Gnodes/s ( nodes: 102181082 )
[64] 142212372 ns 0.718510496400412 Gnodes/s ( nodes: 102181082 )
[65] 164097431 ns 0.622685445940954 Gnodes/s ( nodes: 102181082 )
[66] 142386511 ns 0.717631756564356 Gnodes/s ( nodes: 102181082 )
[67] 168308646 ns 0.607105365222889 Gnodes/s ( nodes: 102181082 )
[68] 156053712 ns 0.654781489593788 Gnodes/s ( nodes: 102181082 )
[69] 149802017 ns 0.682107517951511 Gnodes/s ( nodes: 102181082 )
[70] 168722843 ns 0.60561498480677 Gnodes/s ( nodes: 102181082 )
[71] 198156174 ns 0.515659340495745 Gnodes/s ( nodes: 102181082 )
[72] 148749931 ns 0.686931962341549 Gnodes/s ( nodes: 102181082 )
[73] 143472121 ns 0.712201654842755 Gnodes/s ( nodes: 102181082 )
