places=1   b=4   r=29   d=13   w=1   n=511   l=32   m=1024   z=1
[0] 4597529843 ns 0.022225213427505 Gnodes/s ( nodes: 102181082 )
[1] 4595881834 ns 0.022233183030093 Gnodes/s ( nodes: 102181082 )
[2] 4592305220 ns 0.022250498846416 Gnodes/s ( nodes: 102181082 )
[3] 4596120351 ns 0.022232029232604 Gnodes/s ( nodes: 102181082 )
[4] 4598716708 ns 0.022219477408174 Gnodes/s ( nodes: 102181082 )
[5] 4593793433 ns 0.022243290537614 Gnodes/s ( nodes: 102181082 )
[6] 4598471165 ns 0.022220663854049 Gnodes/s ( nodes: 102181082 )
[7] 4595931037 ns 0.022232945006655 Gnodes/s ( nodes: 102181082 )
[8] 4599498553 ns 0.022215700433986 Gnodes/s ( nodes: 102181082 )
[9] 4593923425 ns 0.022242661130121 Gnodes/s ( nodes: 102181082 )
[10] 4598058836 ns 0.022222656482771 Gnodes/s ( nodes: 102181082 )
[11] 4592022682 ns 0.022251867875247 Gnodes/s ( nodes: 102181082 )
[12] 4597067055 ns 0.022227450845831 Gnodes/s ( nodes: 102181082 )
[13] 4594007989 ns 0.022242251699315 Gnodes/s ( nodes: 102181082 )
[14] 4597911817 ns 0.022223367055932 Gnodes/s ( nodes: 102181082 )
[15] 4594746588 ns 0.022238676288887 Gnodes/s ( nodes: 102181082 )
[16] 4591536472 ns 0.022254224184675 Gnodes/s ( nodes: 102181082 )
[17] 4598488996 ns 0.02222057769169 Gnodes/s ( nodes: 102181082 )
[18] 4602241531 ns 0.022202459673558 Gnodes/s ( nodes: 102181082 )
[19] 4598988194 ns 0.022218165755091 Gnodes/s ( nodes: 102181082 )
[20] 4597217644 ns 0.022226722751175 Gnodes/s ( nodes: 102181082 )
[21] 4598336111 ns 0.022221316479142 Gnodes/s ( nodes: 102181082 )
[22] 4594289951 ns 0.022240886641854 Gnodes/s ( nodes: 102181082 )
[23] 4597305633 ns 0.022226297348284 Gnodes/s ( nodes: 102181082 )
[24] 4595403149 ns 0.022235498972976 Gnodes/s ( nodes: 102181082 )
[25] 4599370760 ns 0.022216317694727 Gnodes/s ( nodes: 102181082 )
[26] 4594686496 ns 0.022238967139315 Gnodes/s ( nodes: 102181082 )
[27] 4595864537 ns 0.022233266706921 Gnodes/s ( nodes: 102181082 )
[28] 4592356773 ns 0.022250249066178 Gnodes/s ( nodes: 102181082 )
[29] 4594774050 ns 0.022238543372987 Gnodes/s ( nodes: 102181082 )
[30] 4599286398 ns 0.022216725195551 Gnodes/s ( nodes: 102181082 )
[31] 4595559053 ns 0.022234744635323 Gnodes/s ( nodes: 102181082 )
[32] 4599121103 ns 0.022217523677154 Gnodes/s ( nodes: 102181082 )
[33] 4593974215 ns 0.022242415219999 Gnodes/s ( nodes: 102181082 )
[34] 4599901179 ns 0.022213755909907 Gnodes/s ( nodes: 102181082 )
[35] 4593148473 ns 0.022246413892486 Gnodes/s ( nodes: 102181082 )
[36] 4596533197 ns 0.022230032422411 Gnodes/s ( nodes: 102181082 )
[37] 4593032123 ns 0.022246977435302 Gnodes/s ( nodes: 102181082 )
[38] 4597142573 ns 0.022227085711923 Gnodes/s ( nodes: 102181082 )
[39] 4592822557 ns 0.022247992543118 Gnodes/s ( nodes: 102181082 )
[40] 4598043929 ns 0.022222728529308 Gnodes/s ( nodes: 102181082 )
[41] 4594939854 ns 0.022237740916467 Gnodes/s ( nodes: 102181082 )
[42] 4593518449 ns 0.022244622098393 Gnodes/s ( nodes: 102181082 )
[43] 4598720848 ns 0.022219457405082 Gnodes/s ( nodes: 102181082 )
[44] 4593380946 ns 0.02224528799184 Gnodes/s ( nodes: 102181082 )
[45] 4599035019 ns 0.022217939541199 Gnodes/s ( nodes: 102181082 )
[46] 4593595168 ns 0.022244250584339 Gnodes/s ( nodes: 102181082 )
[47] 4598118374 ns 0.02222236873626 Gnodes/s ( nodes: 102181082 )
[48] 4592302208 ns 0.022250513440077 Gnodes/s ( nodes: 102181082 )
[49] 4596604083 ns 0.022229689604529 Gnodes/s ( nodes: 102181082 )
[50] 4594056532 ns 0.022242016677038 Gnodes/s ( nodes: 102181082 )
[51] 4596577484 ns 0.022229818241002 Gnodes/s ( nodes: 102181082 )
[52] 4593688631 ns 0.022243798003731 Gnodes/s ( nodes: 102181082 )
[53] 4592253775 ns 0.022250748108972 Gnodes/s ( nodes: 102181082 )
[54] 4599630698 ns 0.022215062188456 Gnodes/s ( nodes: 102181082 )
