places=2304   b=4   r=19   d=15   w=3   n=511   l=32   m=1024   z=3
[0] 1300273031 ns 3.253660193002957 Gnodes/s ( nodes: 4230646601 )
[1] 603074962 ns 7.015125593955599 Gnodes/s ( nodes: 4230646601 )
[2] 556305227 ns 7.604901761960256 Gnodes/s ( nodes: 4230646601 )
[3] 552658469 ns 7.655083271690531 Gnodes/s ( nodes: 4230646601 )
[4] 519013307 ns 8.151325879203325 Gnodes/s ( nodes: 4230646601 )
[5] 520768017 ns 8.123860265788942 Gnodes/s ( nodes: 4230646601 )
[6] 491328252 ns 8.61063165771302 Gnodes/s ( nodes: 4230646601 )
[7] 563610815 ns 7.50632615344686 Gnodes/s ( nodes: 4230646601 )
[8] 597194758 ns 7.084199156684493 Gnodes/s ( nodes: 4230646601 )
[9] 564686100 ns 7.492032477866907 Gnodes/s ( nodes: 4230646601 )
[10] 620434822 ns 6.818841320611757 Gnodes/s ( nodes: 4230646601 )
[11] 635404670 ns 6.658192488575824 Gnodes/s ( nodes: 4230646601 )
[12] 562655434 ns 7.519071789503059 Gnodes/s ( nodes: 4230646601 )
[13] 509887974 ns 8.29720804711507 Gnodes/s ( nodes: 4230646601 )
[14] 620625759 ns 6.816743487761036 Gnodes/s ( nodes: 4230646601 )
[15] 494376664 ns 8.557537013923456 Gnodes/s ( nodes: 4230646601 )
[16] 538601377 ns 7.854875203930272 Gnodes/s ( nodes: 4230646601 )
[17] 554582354 ns 7.628527252058943 Gnodes/s ( nodes: 4230646601 )
[18] 534608946 ns 7.913534991612355 Gnodes/s ( nodes: 4230646601 )
[19] 563889356 ns 7.502618299111856 Gnodes/s ( nodes: 4230646601 )
[20] 545996831 ns 7.748481970584917 Gnodes/s ( nodes: 4230646601 )
[21] 520380146 ns 8.129915473370115 Gnodes/s ( nodes: 4230646601 )
[22] 484919607 ns 8.724428833004477 Gnodes/s ( nodes: 4230646601 )
[23] 489671979 ns 8.639756372500131 Gnodes/s ( nodes: 4230646601 )
[24] 626221172 ns 6.755834504107121 Gnodes/s ( nodes: 4230646601 )
[25] 607723091 ns 6.961470879835304 Gnodes/s ( nodes: 4230646601 )
[26] 746063959 ns 5.670621868225107 Gnodes/s ( nodes: 4230646601 )
[27] 516547204 ns 8.190241991901287 Gnodes/s ( nodes: 4230646601 )
[28] 548395045 ns 7.714596693702803 Gnodes/s ( nodes: 4230646601 )
[29] 547020461 ns 7.733982369262783 Gnodes/s ( nodes: 4230646601 )
[30] 512151523 ns 8.260536991510616 Gnodes/s ( nodes: 4230646601 )
[31] 520895554 ns 8.12187120529733 Gnodes/s ( nodes: 4230646601 )
[32] 511687636 ns 8.268025848879413 Gnodes/s ( nodes: 4230646601 )
[33] 541980745 ns 7.805898346075007 Gnodes/s ( nodes: 4230646601 )
[34] 562988772 ns 7.514619849292483 Gnodes/s ( nodes: 4230646601 )
[35] 540748738 ns 7.823682800716957 Gnodes/s ( nodes: 4230646601 )
[36] 590390649 ns 7.165842833327125 Gnodes/s ( nodes: 4230646601 )
[37] 519703695 ns 8.140497444413976 Gnodes/s ( nodes: 4230646601 )
[38] 529014394 ns 7.997223986687969 Gnodes/s ( nodes: 4230646601 )
[39] 538539885 ns 7.855772095691668 Gnodes/s ( nodes: 4230646601 )
[40] 515953464 ns 8.199667016868792 Gnodes/s ( nodes: 4230646601 )
[41] 488978595 ns 8.652007765288785 Gnodes/s ( nodes: 4230646601 )
[42] 577109471 ns 7.330752333121908 Gnodes/s ( nodes: 4230646601 )
[43] 845670761 ns 5.002711215884168 Gnodes/s ( nodes: 4230646601 )
[44] 726838137 ns 5.820617253879732 Gnodes/s ( nodes: 4230646601 )
[45] 521164073 ns 8.11768657928959 Gnodes/s ( nodes: 4230646601 )
[46] 547701114 ns 7.724370998814511 Gnodes/s ( nodes: 4230646601 )
[47] 581733118 ns 7.272487108083126 Gnodes/s ( nodes: 4230646601 )
[48] 557215550 ns 7.592477634552733 Gnodes/s ( nodes: 4230646601 )
[49] 604125648 ns 7.00292499582802 Gnodes/s ( nodes: 4230646601 )
[50] 518113609 ns 8.165480557759292 Gnodes/s ( nodes: 4230646601 )
[51] 553517672 ns 7.643200596854657 Gnodes/s ( nodes: 4230646601 )
[52] 539196973 ns 7.846198723003588 Gnodes/s ( nodes: 4230646601 )
[53] 540778915 ns 7.823246216986844 Gnodes/s ( nodes: 4230646601 )
[54] 533823806 ns 7.925174099485552 Gnodes/s ( nodes: 4230646601 )
[55] 548489286 ns 7.713271177734546 Gnodes/s ( nodes: 4230646601 )
[56] 482105956 ns 8.775346058989571 Gnodes/s ( nodes: 4230646601 )
[57] 571780343 ns 7.399076678297071 Gnodes/s ( nodes: 4230646601 )
[58] 529981162 ns 7.982635807345922 Gnodes/s ( nodes: 4230646601 )
[59] 613876091 ns 6.891694697065502 Gnodes/s ( nodes: 4230646601 )
[60] 552446923 ns 7.658014598082937 Gnodes/s ( nodes: 4230646601 )
[61] 584905258 ns 7.233045938868957 Gnodes/s ( nodes: 4230646601 )
[62] 502760436 ns 8.414835969710234 Gnodes/s ( nodes: 4230646601 )
[63] 556549279 ns 7.601566942286884 Gnodes/s ( nodes: 4230646601 )
[64] 502517962 ns 8.418896280169186 Gnodes/s ( nodes: 4230646601 )
[65] 544315344 ns 7.772418410824737 Gnodes/s ( nodes: 4230646601 )
[66] 486774760 ns 8.691179059900312 Gnodes/s ( nodes: 4230646601 )
[67] 569640000 ns 7.426877678884909 Gnodes/s ( nodes: 4230646601 )
[68] 516320589 ns 8.193836719147374 Gnodes/s ( nodes: 4230646601 )
[69] 507522306 ns 8.33588307545245 Gnodes/s ( nodes: 4230646601 )
[70] 536256416 ns 7.889223279708042 Gnodes/s ( nodes: 4230646601 )
[71] 503582976 ns 8.401091384391835 Gnodes/s ( nodes: 4230646601 )
[72] 529887917 ns 7.984040521157986 Gnodes/s ( nodes: 4230646601 )
[73] 513510181 ns 8.238681057425811 Gnodes/s ( nodes: 4230646601 )
[74] 535048830 ns 7.907028973411641 Gnodes/s ( nodes: 4230646601 )
[75] 501895075 ns 8.429344721105302 Gnodes/s ( nodes: 4230646601 )
[76] 535418000 ns 7.90157708743449 Gnodes/s ( nodes: 4230646601 )
[77] 536203470 ns 7.8900022802911 Gnodes/s ( nodes: 4230646601 )
[78] 526550419 ns 8.034646727723903 Gnodes/s ( nodes: 4230646601 )
[79] 498103160 ns 8.493514879528169 Gnodes/s ( nodes: 4230646601 )
[80] 606068442 ns 6.980476638973392 Gnodes/s ( nodes: 4230646601 )
[81] 554428743 ns 7.630640825199785 Gnodes/s ( nodes: 4230646601 )
[82] 552192693 ns 7.661540354718167 Gnodes/s ( nodes: 4230646601 )
[83] 572101489 ns 7.394923247612803 Gnodes/s ( nodes: 4230646601 )
[84] 537198810 ns 7.875383419036241 Gnodes/s ( nodes: 4230646601 )
[85] 536224269 ns 7.889696243867694 Gnodes/s ( nodes: 4230646601 )
[86] 496494112 ns 8.521040831598018 Gnodes/s ( nodes: 4230646601 )
[87] 489032545 ns 8.651053277037011 Gnodes/s ( nodes: 4230646601 )
[88] 514964184 ns 8.215419115438911 Gnodes/s ( nodes: 4230646601 )
[89] 560599970 ns 7.546640790936896 Gnodes/s ( nodes: 4230646601 )
[90] 505082188 ns 8.376154815025867 Gnodes/s ( nodes: 4230646601 )
[91] 512015013 ns 8.262739360339811 Gnodes/s ( nodes: 4230646601 )
[92] 530675923 ns 7.97218493931936 Gnodes/s ( nodes: 4230646601 )
[93] 516808871 ns 8.186095166698484 Gnodes/s ( nodes: 4230646601 )
