places=9216   b=4   r=19   d=15   w=3   n=511   l=32   m=1024   z=3
[0] 7023203741 ns 0.602381300189594 Gnodes/s ( nodes: 4230646601 )
[1] 2366451767 ns 1.787759488697832 Gnodes/s ( nodes: 4230646601 )
[2] 2009167976 ns 2.105670930223905 Gnodes/s ( nodes: 4230646601 )
[3] 1884043736 ns 2.245514008067592 Gnodes/s ( nodes: 4230646601 )
[4] 1858005377 ns 2.276982969678456 Gnodes/s ( nodes: 4230646601 )
[5] 1959675246 ns 2.158850865537748 Gnodes/s ( nodes: 4230646601 )
[6] 2027908822 ns 2.086211448514523 Gnodes/s ( nodes: 4230646601 )
[7] 2090272457 ns 2.023968974394805 Gnodes/s ( nodes: 4230646601 )
[8] 1589899467 ns 2.660952273279805 Gnodes/s ( nodes: 4230646601 )
[9] 1872113619 ns 2.259823633599666 Gnodes/s ( nodes: 4230646601 )
[10] 1975951496 ns 2.14106804218842 Gnodes/s ( nodes: 4230646601 )
[11] 2284401961 ns 1.851971182491907 Gnodes/s ( nodes: 4230646601 )
[12] 1866463873 ns 2.266664071134689 Gnodes/s ( nodes: 4230646601 )
[13] 1763174558 ns 2.399448529814823 Gnodes/s ( nodes: 4230646601 )
[14] 1913529929 ns 2.210912166506281 Gnodes/s ( nodes: 4230646601 )
[15] 1886422652 ns 2.242682251782036 Gnodes/s ( nodes: 4230646601 )
[16] 2361201328 ns 1.791734805004311 Gnodes/s ( nodes: 4230646601 )
[17] 1976911093 ns 2.140028763043619 Gnodes/s ( nodes: 4230646601 )
[18] 1869200664 ns 2.263345333906857 Gnodes/s ( nodes: 4230646601 )
[19] 1741535734 ns 2.429262011915743 Gnodes/s ( nodes: 4230646601 )
[20] 1856398443 ns 2.278953969689362 Gnodes/s ( nodes: 4230646601 )
[21] 1774903004 ns 2.383593126759957 Gnodes/s ( nodes: 4230646601 )
[22] 1753630584 ns 2.412507308893969 Gnodes/s ( nodes: 4230646601 )
[23] 1731760191 ns 2.442974854709546 Gnodes/s ( nodes: 4230646601 )
[24] 1843662808 ns 2.294696504503116 Gnodes/s ( nodes: 4230646601 )
[25] 1794342761 ns 2.357769481368337 Gnodes/s ( nodes: 4230646601 )
[26] 1728271341 ns 2.447906471996518 Gnodes/s ( nodes: 4230646601 )
[27] 1960944994 ns 2.157452969840928 Gnodes/s ( nodes: 4230646601 )
[28] 1933298655 ns 2.188304735048812 Gnodes/s ( nodes: 4230646601 )
[29] 1874815062 ns 2.256567427235658 Gnodes/s ( nodes: 4230646601 )
[30] 1849982673 ns 2.286857419123514 Gnodes/s ( nodes: 4230646601 )
[31] 2149535197 ns 1.968168098342611 Gnodes/s ( nodes: 4230646601 )
[32] 1654465375 ns 2.557107972718982 Gnodes/s ( nodes: 4230646601 )
[33] 1889826741 ns 2.238642574589329 Gnodes/s ( nodes: 4230646601 )
[34] 1703185515 ns 2.483961120935203 Gnodes/s ( nodes: 4230646601 )
[35] 1832165849 ns 2.309095873230634 Gnodes/s ( nodes: 4230646601 )
[36] 1727784073 ns 2.448596828221833 Gnodes/s ( nodes: 4230646601 )
[37] 1885186215 ns 2.244153159691972 Gnodes/s ( nodes: 4230646601 )
[38] 1766985729 ns 2.394273214302796 Gnodes/s ( nodes: 4230646601 )
[39] 1706379414 ns 2.479311790970774 Gnodes/s ( nodes: 4230646601 )
[40] 1560000920 ns 2.71195135000305 Gnodes/s ( nodes: 4230646601 )
[41] 2180330803 ns 1.940369138104591 Gnodes/s ( nodes: 4230646601 )
[42] 1739007897 ns 2.432793208299042 Gnodes/s ( nodes: 4230646601 )
[43] 1754042257 ns 2.41194109441572 Gnodes/s ( nodes: 4230646601 )
[44] 1842058444 ns 2.296695099322267 Gnodes/s ( nodes: 4230646601 )
[45] 1746517634 ns 2.422332599820747 Gnodes/s ( nodes: 4230646601 )
[46] 1867102680 ns 2.265888558951669 Gnodes/s ( nodes: 4230646601 )
[47] 1778714184 ns 2.378485896753832 Gnodes/s ( nodes: 4230646601 )
[48] 1891116821 ns 2.237115419851686 Gnodes/s ( nodes: 4230646601 )
[49] 1871145151 ns 2.260993273952588 Gnodes/s ( nodes: 4230646601 )
[50] 1923717021 ns 2.199204225370317 Gnodes/s ( nodes: 4230646601 )
[51] 1707472607 ns 2.477724435317983 Gnodes/s ( nodes: 4230646601 )
[52] 1809943419 ns 2.337446881813271 Gnodes/s ( nodes: 4230646601 )
[53] 1874839742 ns 2.256537722251889 Gnodes/s ( nodes: 4230646601 )
[54] 1669313154 ns 2.534363663799417 Gnodes/s ( nodes: 4230646601 )
[55] 1563925382 ns 2.705146070069985 Gnodes/s ( nodes: 4230646601 )
[56] 1748704150 ns 2.419303803333457 Gnodes/s ( nodes: 4230646601 )
[57] 1669690436 ns 2.53379100088467 Gnodes/s ( nodes: 4230646601 )
[58] 1813871272 ns 2.332385250434684 Gnodes/s ( nodes: 4230646601 )
[59] 1914172127 ns 2.210170413269214 Gnodes/s ( nodes: 4230646601 )
[60] 1774035799 ns 2.3847583027269 Gnodes/s ( nodes: 4230646601 )
[61] 1782157874 ns 2.373889913301811 Gnodes/s ( nodes: 4230646601 )
