places=576   b=4   r=19   d=15   w=2   n=511   l=32   m=1024   z=2
[0] 774843161 ns 5.460003796819986 Gnodes/s ( nodes: 4230646601 )
[1] 569533651 ns 7.428264499510671 Gnodes/s ( nodes: 4230646601 )
[2] 582878898 ns 7.258191393643487 Gnodes/s ( nodes: 4230646601 )
[3] 579271539 ns 7.303391097555719 Gnodes/s ( nodes: 4230646601 )
[4] 541671566 ns 7.810353850104068 Gnodes/s ( nodes: 4230646601 )
[5] 558492268 ns 7.575121167120616 Gnodes/s ( nodes: 4230646601 )
[6] 553595896 ns 7.642120600185952 Gnodes/s ( nodes: 4230646601 )
[7] 523140603 ns 8.087016333159672 Gnodes/s ( nodes: 4230646601 )
[8] 522299176 ns 8.100044563348115 Gnodes/s ( nodes: 4230646601 )
[9] 553560866 ns 7.642604202805044 Gnodes/s ( nodes: 4230646601 )
[10] 539981518 ns 7.834798895839246 Gnodes/s ( nodes: 4230646601 )
[11] 511888858 ns 8.264775712309019 Gnodes/s ( nodes: 4230646601 )
[12] 512482757 ns 8.255197942201205 Gnodes/s ( nodes: 4230646601 )
[13] 559139270 ns 7.566355697034122 Gnodes/s ( nodes: 4230646601 )
[14] 544689847 ns 7.767074463203644 Gnodes/s ( nodes: 4230646601 )
[15] 499089312 ns 8.476732519168834 Gnodes/s ( nodes: 4230646601 )
[16] 517845749 ns 8.169704220165375 Gnodes/s ( nodes: 4230646601 )
[17] 548514253 ns 7.712920088878711 Gnodes/s ( nodes: 4230646601 )
[18] 538848862 ns 7.851267580481593 Gnodes/s ( nodes: 4230646601 )
[19] 527021485 ns 8.027465144044365 Gnodes/s ( nodes: 4230646601 )
[20] 516280236 ns 8.194477157944121 Gnodes/s ( nodes: 4230646601 )
[21] 541801082 ns 7.808486807340854 Gnodes/s ( nodes: 4230646601 )
[22] 528118340 ns 8.010792810187201 Gnodes/s ( nodes: 4230646601 )
[23] 537968068 ns 7.864122152692527 Gnodes/s ( nodes: 4230646601 )
[24] 547817575 ns 7.722728868273348 Gnodes/s ( nodes: 4230646601 )
[25] 529850929 ns 7.984597873565303 Gnodes/s ( nodes: 4230646601 )
[26] 532293863 ns 7.947952991898386 Gnodes/s ( nodes: 4230646601 )
[27] 511122010 ns 8.277175543663244 Gnodes/s ( nodes: 4230646601 )
[28] 518157305 ns 8.164791966022751 Gnodes/s ( nodes: 4230646601 )
[29] 518694021 ns 8.156343489064433 Gnodes/s ( nodes: 4230646601 )
[30] 518519994 ns 8.159080941823817 Gnodes/s ( nodes: 4230646601 )
[31] 534196088 ns 7.919651034584139 Gnodes/s ( nodes: 4230646601 )
[32] 523395753 ns 8.083073996590111 Gnodes/s ( nodes: 4230646601 )
[33] 543023968 ns 7.790902152223233 Gnodes/s ( nodes: 4230646601 )
[34] 532661512 ns 7.942467224851793 Gnodes/s ( nodes: 4230646601 )
[35] 543698596 ns 7.781235103649228 Gnodes/s ( nodes: 4230646601 )
[36] 507024597 ns 8.344065802787867 Gnodes/s ( nodes: 4230646601 )
[37] 553592356 ns 7.642169468467155 Gnodes/s ( nodes: 4230646601 )
[38] 503310292 ns 8.405642936862495 Gnodes/s ( nodes: 4230646601 )
[39] 554258588 ns 7.632983399077255 Gnodes/s ( nodes: 4230646601 )
[40] 526467507 ns 8.035912083364339 Gnodes/s ( nodes: 4230646601 )
[41] 558493359 ns 7.575106369348968 Gnodes/s ( nodes: 4230646601 )
[42] 546156872 ns 7.746211423665836 Gnodes/s ( nodes: 4230646601 )
[43] 529099435 ns 7.995938610291655 Gnodes/s ( nodes: 4230646601 )
[44] 535680692 ns 7.897702239751438 Gnodes/s ( nodes: 4230646601 )
[45] 525716784 ns 8.047387357143995 Gnodes/s ( nodes: 4230646601 )
[46] 520571916 ns 8.126920548284053 Gnodes/s ( nodes: 4230646601 )
[47] 533448667 ns 7.93074734780432 Gnodes/s ( nodes: 4230646601 )
[48] 526184153 ns 8.040239480568317 Gnodes/s ( nodes: 4230646601 )
[49] 565545486 ns 7.480647809467265 Gnodes/s ( nodes: 4230646601 )
[50] 538896451 ns 7.850574248817979 Gnodes/s ( nodes: 4230646601 )
[51] 537452885 ns 7.871660417266157 Gnodes/s ( nodes: 4230646601 )
[52] 530638946 ns 7.972740472388923 Gnodes/s ( nodes: 4230646601 )
[53] 516712328 ns 8.187624664143875 Gnodes/s ( nodes: 4230646601 )
[54] 517418696 ns 8.176447108899984 Gnodes/s ( nodes: 4230646601 )
[55] 548338534 ns 7.715391749214547 Gnodes/s ( nodes: 4230646601 )
[56] 554358589 ns 7.631606481702766 Gnodes/s ( nodes: 4230646601 )
[57] 532291000 ns 7.947995741051417 Gnodes/s ( nodes: 4230646601 )
[58] 515168201 ns 8.212165643740887 Gnodes/s ( nodes: 4230646601 )
[59] 551722536 ns 7.668069228551505 Gnodes/s ( nodes: 4230646601 )
[60] 555814914 ns 7.611610438002749 Gnodes/s ( nodes: 4230646601 )
[61] 555901674 ns 7.610422488132317 Gnodes/s ( nodes: 4230646601 )
[62] 563573763 ns 7.506819654768067 Gnodes/s ( nodes: 4230646601 )
[63] 502349022 ns 8.42172755538877 Gnodes/s ( nodes: 4230646601 )
[64] 564628314 ns 7.492799238190524 Gnodes/s ( nodes: 4230646601 )
[65] 539026014 ns 7.84868724536178 Gnodes/s ( nodes: 4230646601 )
[66] 493555203 ns 8.5717799656141 Gnodes/s ( nodes: 4230646601 )
[67] 542034523 ns 7.805123883225423 Gnodes/s ( nodes: 4230646601 )
[68] 543493784 ns 7.7841674100913 Gnodes/s ( nodes: 4230646601 )
[69] 539193582 ns 7.846248067915615 Gnodes/s ( nodes: 4230646601 )
[70] 544107325 ns 7.775389903085756 Gnodes/s ( nodes: 4230646601 )
[71] 532100209 ns 7.950845591567885 Gnodes/s ( nodes: 4230646601 )
[72] 522551392 ns 8.096134974988258 Gnodes/s ( nodes: 4230646601 )
[73] 557683925 ns 7.586101035635911 Gnodes/s ( nodes: 4230646601 )
[74] 565429842 ns 7.482177781836991 Gnodes/s ( nodes: 4230646601 )
[75] 544178758 ns 7.774369246878982 Gnodes/s ( nodes: 4230646601 )
[76] 537561266 ns 7.870073363879607 Gnodes/s ( nodes: 4230646601 )
[77] 519987920 ns 8.136047854727087 Gnodes/s ( nodes: 4230646601 )
[78] 550224188 ns 7.688950600986665 Gnodes/s ( nodes: 4230646601 )
[79] 544496852 ns 7.769827475513118 Gnodes/s ( nodes: 4230646601 )
[80] 547225292 ns 7.731087475028475 Gnodes/s ( nodes: 4230646601 )
[81] 505636172 ns 8.366977750555394 Gnodes/s ( nodes: 4230646601 )
[82] 533576780 ns 7.928843157305309 Gnodes/s ( nodes: 4230646601 )
[83] 531992328 ns 7.952457917776589 Gnodes/s ( nodes: 4230646601 )
[84] 539333143 ns 7.844217726853103 Gnodes/s ( nodes: 4230646601 )
[85] 518597020 ns 8.157869092653097 Gnodes/s ( nodes: 4230646601 )
[86] 520168662 ns 8.133220837898151 Gnodes/s ( nodes: 4230646601 )
[87] 536897841 ns 7.87979812531971 Gnodes/s ( nodes: 4230646601 )
[88] 549642149 ns 7.697092751524047 Gnodes/s ( nodes: 4230646601 )
[89] 519337235 ns 8.146241624673802 Gnodes/s ( nodes: 4230646601 )
[90] 524080222 ns 8.072517189935093 Gnodes/s ( nodes: 4230646601 )
[91] 578778030 ns 7.309618509534649 Gnodes/s ( nodes: 4230646601 )
[92] 510336333 ns 8.289918485972269 Gnodes/s ( nodes: 4230646601 )
[93] 550567568 ns 7.68415512807685 Gnodes/s ( nodes: 4230646601 )
[94] 547448952 ns 7.727928943044173 Gnodes/s ( nodes: 4230646601 )
[95] 532507798 ns 7.944759901901005 Gnodes/s ( nodes: 4230646601 )
[96] 537977224 ns 7.863988310776517 Gnodes/s ( nodes: 4230646601 )
[97] 537688588 ns 7.868209769406525 Gnodes/s ( nodes: 4230646601 )
[98] 538055632 ns 7.862842333374181 Gnodes/s ( nodes: 4230646601 )
[99] 538509310 ns 7.856218123694092 Gnodes/s ( nodes: 4230646601 )
[100] 542568945 ns 7.797435957194343 Gnodes/s ( nodes: 4230646601 )
[101] 501223257 ns 8.440643050607685 Gnodes/s ( nodes: 4230646601 )
[102] 530039137 ns 7.981762676894555 Gnodes/s ( nodes: 4230646601 )
[103] 545106555 ns 7.761136904691964 Gnodes/s ( nodes: 4230646601 )
[104] 511309341 ns 8.274142992822812 Gnodes/s ( nodes: 4230646601 )
[105] 542050701 ns 7.804890932149168 Gnodes/s ( nodes: 4230646601 )
[106] 536946640 ns 7.879081990344515 Gnodes/s ( nodes: 4230646601 )
[107] 535954271 ns 7.893670840809476 Gnodes/s ( nodes: 4230646601 )
[108] 525434892 ns 8.051704721962013 Gnodes/s ( nodes: 4230646601 )
[109] 531051985 ns 7.966539473531956 Gnodes/s ( nodes: 4230646601 )
[110] 541911392 ns 7.806897333134492 Gnodes/s ( nodes: 4230646601 )
[111] 539223898 ns 7.845806939736191 Gnodes/s ( nodes: 4230646601 )
[112] 563181009 ns 7.512054798353472 Gnodes/s ( nodes: 4230646601 )
[113] 520458201 ns 8.128696200523507 Gnodes/s ( nodes: 4230646601 )
[114] 564773856 ns 7.490868346781265 Gnodes/s ( nodes: 4230646601 )
[115] 547458075 ns 7.727800162596925 Gnodes/s ( nodes: 4230646601 )
[116] 555423389 ns 7.616975958857217 Gnodes/s ( nodes: 4230646601 )
[117] 543673267 ns 7.781597620837222 Gnodes/s ( nodes: 4230646601 )
[118] 533595878 ns 7.928559375040749 Gnodes/s ( nodes: 4230646601 )
[119] 526057176 ns 8.042180192595643 Gnodes/s ( nodes: 4230646601 )
[120] 526523454 ns 8.035058208442125 Gnodes/s ( nodes: 4230646601 )
[121] 535377983 ns 7.902167693362168 Gnodes/s ( nodes: 4230646601 )
[122] 503642439 ns 8.400099501940502 Gnodes/s ( nodes: 4230646601 )
[123] 518138951 ns 8.165081186880313 Gnodes/s ( nodes: 4230646601 )
[124] 550199538 ns 7.689295080796669 Gnodes/s ( nodes: 4230646601 )
[125] 519815455 ns 8.138747242518981 Gnodes/s ( nodes: 4230646601 )
[126] 551794848 ns 7.667064338012811 Gnodes/s ( nodes: 4230646601 )
[127] 519757567 ns 8.139653695508391 Gnodes/s ( nodes: 4230646601 )
[128] 508754936 ns 8.315686594144415 Gnodes/s ( nodes: 4230646601 )
[129] 520356692 ns 8.13028191246938 Gnodes/s ( nodes: 4230646601 )
[130] 566377384 ns 7.469660195683237 Gnodes/s ( nodes: 4230646601 )
[131] 538433203 ns 7.857328592345372 Gnodes/s ( nodes: 4230646601 )
[132] 505255073 ns 8.373288715104103 Gnodes/s ( nodes: 4230646601 )
[133] 527140798 ns 8.025648208317961 Gnodes/s ( nodes: 4230646601 )
[134] 521414494 ns 8.113787878324686 Gnodes/s ( nodes: 4230646601 )
[135] 856456781 ns 4.939708219789318 Gnodes/s ( nodes: 4230646601 )
[136] 527205720 ns 8.024659901262073 Gnodes/s ( nodes: 4230646601 )
[137] 534601454 ns 7.913645893301293 Gnodes/s ( nodes: 4230646601 )
[138] 532410086 ns 7.946217985434633 Gnodes/s ( nodes: 4230646601 )
[139] 567058325 ns 7.46069039899908 Gnodes/s ( nodes: 4230646601 )
[140] 552576277 ns 7.656221913775716 Gnodes/s ( nodes: 4230646601 )
[141] 527623649 ns 8.018303593893684 Gnodes/s ( nodes: 4230646601 )
[142] 522057455 ns 8.103795014286311 Gnodes/s ( nodes: 4230646601 )
[143] 517489674 ns 8.175325641376952 Gnodes/s ( nodes: 4230646601 )
[144] 541549490 ns 7.81211445882813 Gnodes/s ( nodes: 4230646601 )
[145] 511958135 ns 8.263657341825422 Gnodes/s ( nodes: 4230646601 )
[146] 530636816 ns 7.97277247532708 Gnodes/s ( nodes: 4230646601 )
[147] 505344641 ns 8.371804621551334 Gnodes/s ( nodes: 4230646601 )
[148] 515693489 ns 8.20380069021969 Gnodes/s ( nodes: 4230646601 )
[149] 568762302 ns 7.438338627794639 Gnodes/s ( nodes: 4230646601 )
[150] 542799741 ns 7.794120522618304 Gnodes/s ( nodes: 4230646601 )
[151] 547063420 ns 7.73337504635203 Gnodes/s ( nodes: 4230646601 )
