places=9216   b=4   r=29   d=13   w=3   n=511   l=32   m=1024   z=3
[79] 1543463643 ns 0.066202454760381 Gnodes/s ( nodes: 102181082 )
[80] 1276436264 ns 0.080051848166545 Gnodes/s ( nodes: 102181082 )
[81] 1310852946 ns 0.077950072364563 Gnodes/s ( nodes: 102181082 )
[82] 1365764344 ns 0.074816041617206 Gnodes/s ( nodes: 102181082 )
[83] 1445784297 ns 0.070675191459767 Gnodes/s ( nodes: 102181082 )
[84] 1579991743 ns 0.064671908858197 Gnodes/s ( nodes: 102181082 )
[85] 1368846820 ns 0.074647565021191 Gnodes/s ( nodes: 102181082 )
[86] 1302679071 ns 0.078439182968957 Gnodes/s ( nodes: 102181082 )
[87] 1116330523 ns 0.091533000213414 Gnodes/s ( nodes: 102181082 )
[88] 1172719162 ns 0.087131757807842 Gnodes/s ( nodes: 102181082 )
[89] 1319370151 ns 0.077446865023097 Gnodes/s ( nodes: 102181082 )
[90] 1455424796 ns 0.070207050395753 Gnodes/s ( nodes: 102181082 )
[91] 1300102357 ns 0.078594644067706 Gnodes/s ( nodes: 102181082 )
[92] 1017019444 ns 0.100471119409591 Gnodes/s ( nodes: 102181082 )
[93] 980559275 ns 0.104206940472824 Gnodes/s ( nodes: 102181082 )
[94] 1217460869 ns 0.083929664272437 Gnodes/s ( nodes: 102181082 )
[95] 1786821072 ns 0.057185962042427 Gnodes/s ( nodes: 102181082 )
[96] 1106672068 ns 0.092331852365863 Gnodes/s ( nodes: 102181082 )
[97] 1218415588 ns 0.083863899154251 Gnodes/s ( nodes: 102181082 )
[98] 1357570807 ns 0.07526758933908 Gnodes/s ( nodes: 102181082 )
[99] 1660387840 ns 0.061540490443486 Gnodes/s ( nodes: 102181082 )
[100] 1482284997 ns 0.068934841954688 Gnodes/s ( nodes: 102181082 )
[101] 1454179914 ns 0.070267152651649 Gnodes/s ( nodes: 102181082 )
[102] 1448723858 ns 0.0705317866036 Gnodes/s ( nodes: 102181082 )
[103] 1909983009 ns 0.053498424603001 Gnodes/s ( nodes: 102181082 )
[104] 1472839563 ns 0.069376926426303 Gnodes/s ( nodes: 102181082 )
[105] 1254878721 ns 0.081427057682971 Gnodes/s ( nodes: 102181082 )
[106] 1188194288 ns 0.085996947664169 Gnodes/s ( nodes: 102181082 )
[107] 1285867198 ns 0.079464724007992 Gnodes/s ( nodes: 102181082 )
[108] 1259084681 ns 0.081155051397214 Gnodes/s ( nodes: 102181082 )
[109] 1788964432 ns 0.057117447486513 Gnodes/s ( nodes: 102181082 )
[110] 1432862816 ns 0.071312536593873 Gnodes/s ( nodes: 102181082 )
[111] 1275916434 ns 0.080084462647497 Gnodes/s ( nodes: 102181082 )
[112] 1494420625 ns 0.068375048022373 Gnodes/s ( nodes: 102181082 )
[113] 1535325773 ns 0.06655335551382 Gnodes/s ( nodes: 102181082 )
[114] 1500667566 ns 0.0680904181013 Gnodes/s ( nodes: 102181082 )
[115] 1102067754 ns 0.092717604366092 Gnodes/s ( nodes: 102181082 )
[116] 996172058 ns 0.10257372828259 Gnodes/s ( nodes: 102181082 )
[117] 1223990328 ns 0.083481935814774 Gnodes/s ( nodes: 102181082 )
[118] 1110944642 ns 0.091976753959627 Gnodes/s ( nodes: 102181082 )
[119] 1216639027 ns 0.083986358921889 Gnodes/s ( nodes: 102181082 )
[120] 1140225648 ns 0.089614790001637 Gnodes/s ( nodes: 102181082 )
[121] 919355460 ns 0.111144259696897 Gnodes/s ( nodes: 102181082 )
[122] 1332025012 ns 0.076711083560344 Gnodes/s ( nodes: 102181082 )
[123] 1250178295 ns 0.081733207502215 Gnodes/s ( nodes: 102181082 )
[124] 1152164366 ns 0.088686202260138 Gnodes/s ( nodes: 102181082 )
[125] 1131660514 ns 0.090293052320813 Gnodes/s ( nodes: 102181082 )
[126] 1688003208 ns 0.060533701307989 Gnodes/s ( nodes: 102181082 )
[127] 1484731593 ns 0.068821248555462 Gnodes/s ( nodes: 102181082 )
[128] 4724251628 ns 0.021629051550596 Gnodes/s ( nodes: 102181082 )
[129] 1571866215 ns 0.065006220647092 Gnodes/s ( nodes: 102181082 )
[130] 1575104266 ns 0.064872582854144 Gnodes/s ( nodes: 102181082 )
[131] 1526203006 ns 0.066951173335587 Gnodes/s ( nodes: 102181082 )
[132] 1742567907 ns 0.058638220978094 Gnodes/s ( nodes: 102181082 )
[133] 1231666568 ns 0.082961642911136 Gnodes/s ( nodes: 102181082 )
[134] 1447352028 ns 0.070598638080604 Gnodes/s ( nodes: 102181082 )
[135] 1291338500 ns 0.07912803807832 Gnodes/s ( nodes: 102181082 )
