places=2304   b=4   r=19   d=18   w=3   n=511   l=32   m=1024   z=3
[0] 6989358289 ns 38.737702168754851 Gnodes/s ( nodes: 270751679750 )
[1] 5983442629 ns 45.250150546734687 Gnodes/s ( nodes: 270751679750 )
[2] 5931930173 ns 45.643099607335856 Gnodes/s ( nodes: 270751679750 )
[3] 6000920350 ns 45.118359178021748 Gnodes/s ( nodes: 270751679750 )
[4] 6131431170 ns 44.157990564216021 Gnodes/s ( nodes: 270751679750 )
[5] 6006515450 ns 45.076331194652965 Gnodes/s ( nodes: 270751679750 )
[6] 6034768110 ns 44.865299679261412 Gnodes/s ( nodes: 270751679750 )
[7] 5931924318 ns 45.643144658542489 Gnodes/s ( nodes: 270751679750 )
[8] 6076096434 ns 44.560135391360049 Gnodes/s ( nodes: 270751679750 )
[9] 6561451184 ns 41.263993613215305 Gnodes/s ( nodes: 270751679750 )
[10] 6030575154 ns 44.896493756555543 Gnodes/s ( nodes: 270751679750 )
[11] 6002850267 ns 45.103853620741994 Gnodes/s ( nodes: 270751679750 )
[12] 6075038247 ns 44.567897145948621 Gnodes/s ( nodes: 270751679750 )
[13] 6078080241 ns 44.545591537872561 Gnodes/s ( nodes: 270751679750 )
[14] 6092380834 ns 44.441030054950765 Gnodes/s ( nodes: 270751679750 )
[15] 6025546730 ns 44.933960664844101 Gnodes/s ( nodes: 270751679750 )
[16] 5997245158 ns 45.146008311638205 Gnodes/s ( nodes: 270751679750 )
[17] 6013196639 ns 45.026247436176682 Gnodes/s ( nodes: 270751679750 )
[18] 6021209059 ns 44.966331030360593 Gnodes/s ( nodes: 270751679750 )
[19] 6172657554 ns 43.863065038258561 Gnodes/s ( nodes: 270751679750 )
[20] 5995619932 ns 45.158245989699267 Gnodes/s ( nodes: 270751679750 )
[21] 6027818556 ns 44.917025493492645 Gnodes/s ( nodes: 270751679750 )
[22] 5969381395 ns 45.35673997590164 Gnodes/s ( nodes: 270751679750 )
[23] 5971013604 ns 45.344341464675722 Gnodes/s ( nodes: 270751679750 )
[24] 6214648071 ns 43.56669543580982 Gnodes/s ( nodes: 270751679750 )
[25] 5999921233 ns 45.12587236326474 Gnodes/s ( nodes: 270751679750 )
[26] 6022817013 ns 44.954326051346698 Gnodes/s ( nodes: 270751679750 )
[27] 5989112720 ns 45.207310733333465 Gnodes/s ( nodes: 270751679750 )
